TweetNo,Label,Target,Topic,Phrase,TweetText,clean_text,label
2501,Hate,UNT,terrorism,טרוריסט,@bezalelsm נראה לי שהמקרה מזכיר לך את ימך היפים בגבעות שהיית טרוריסט גזען כמוהם לא? אין כמו קצת נוסטלגיה בזמנים קשים,נראה לי שהמקרה מזכיר לך את ימך היפים בגבעות שהיית טרוריסט גזען כמוהם לא אין כמו קצת נוסטלגיה בזמנים קשים,1
2502,NOT,,,,@haim_goldberg אתמול היה הפגנה מול ביתו של אלי בן ארוש במעלה אדומים רוצח הנער אהוביה סנדק אולי נעשה הפגנה מול כל שוטר אלים שידעו שהם לא יכולים לעשות מה שהם רוצים,אתמול היה הפגנה מול ביתו של אלי בן ארוש במעלה אדומים רוצח הנער אהוביה סנדק אולי נעשה הפגנה מול כל שוטר אלים שידעו שהם לא יכולים לעשות מה שהם רוצים,0
2504,NOT,,,,"אימו של אהוביה סנדק הטיחה בשר אוחנה: ""ממשלה מטומטמת, יהודי לא רוצח יהודי"". מה בעצם היא אומרת - שיהודי יכול לרצוח ערבי? שערבי יכול לרצוח יהודי? לא מבין מה זאת תפיסת העולם הזו. לא מבין. https://t.co/j5iDLsXc4p",אימו של אהוביה סנדק הטיחה בשר אוחנה ממשלה מטומטמת יהודי לא רוצח יהודי מה בעצם היא אומרת שיהודי יכול לרצוח ערבי שערבי יכול לרצוח יהודי לא מבין מה זאת תפיסת העולם הזו לא מבין,0
2505,NOT,,,,"1/2 היום יום הולדתו ה-27 של חלל צה״ל סמ""ר אורון שאול, שמוחזק על ידי חמאס מעל לשש שנים, בהפרה בוטה של הדין הבינ״ל, יחד עם הדר גולדין ז״ל, והאזרחים אברה מנגיסטו והישאם א-סייד. אחיו אופק אמר היום: ""זה יום הולדת עצוב מאוד. מיום הכי משמח בעולם - זה נהפך ליום אחד הקשים בשנה.״ https://t.co/ElSl52yZ5A",היום יום הולדתו ה של חלל צה״ל סמר אורון שאול שמוחזק על ידי חמאס מעל לשש שנים בהפרה בוטה של הדין הבינ״ל יחד עם הדר גולדין ז״ל והאזרחים אברה מנגיסטו והישאם אסייד אחיו אופק אמר היום זה יום הולדת עצוב מאוד מיום הכי משמח בעולם זה נהפך ליום אחד הקשים בשנה״,0
2506,Hate,suidian monarchy,Racisim,סעודי,נסראללה: יורש העצר הסעודי ביקש מטראמפ לרצוח אותי https://t.co/U6fdagRgiP,נסראללה יורש העצר הסעודי ביקש מטראמפ לרצוח אותי,1
2507,Hate,arab citisens,racism ,ערבי מחמד,RT @mendy_silber: @idanlandau @saritm0 @attilus ערבי שתומך ביהודים זה ערבי מחמד? כי מה מצופה מערבי לא מחמד? ציוץ מתנשא וגזעני כלפי האוכלוס…,ערבי שתומך ביהודים זה ערבי מחמד כי מה מצופה מערבי לא מחמד ציוץ מתנשא וגזעני כלפי האוכלוס,1
2508,NOT,,,,RT @avribloch: חייל ממצפה הילה הילד של כולנו - מתנחל מאיתמר לא.,חייל ממצפה הילה הילד של כולנו מתנחל מאיתמר לא,0
2509,NOT,,,,@Lordsimon15 אוקייי אז עוד עשר דקות כזה למרות שאני מביך רצח ואני לא יודע לדבר אבל כן,אוקייי אז עוד עשר דקות כזה למרות שאני מביך רצח ואני לא יודע לדבר אבל כן,0
2510,NOT,,,,"קיין רצח את הבל. ישראל פרי ""קין רצח את הבל"". יאיר לוי: שוב פרי נתפס בשקרים ובפייק ניוז האופיינים אותו (העילג טעה במקור). מדובר באירוע (רצח, ביג דיל) שהתקיים לפני שמשה ירד עם עשרת הדיברות, מה שלא מנע ממנו לציין כי זה קורה 'רגע לפני מתן תורה'. https://t.co/XSuOTLnDfR",קיין רצח את הבל ישראל פרי קין רצח את הבל יאיר לוי שוב פרי נתפס בשקרים ובפייק ניוז האופיינים אותו העילג טעה במקור מדובר באירוע רצח ביג דיל שהתקיים לפני שמשה ירד עם עשרת הדיברות מה שלא מנע ממנו לציין כי זה קורה רגע לפני מתן תורה,0
2511,violence,occupation,politics,לכבוש,"@ZigdonL @YosephHaddad @idanlandau כמו שאתה אומר יום וליל ""כיבוש"" זה לא אומר שזה נכון,אי אפשר לכבוש שטח ממדינה מומצאת...",כמו שאתה אומר יום וליל כיבוש זה לא אומר שזה נכוןאי אפשר לכבוש שטח ממדינה מומצאת,1
