lang,word
fas,آخه
fas,دهن
fas,بزرگ
fas,منم
fas,اين
fas,جام
fas,راست
fas,پر
fas,همه
fas,حضرت
fas,بدی
fas,برم
fas,پخش
fas,زیبا
fas,آقای
fas,ملخ
fas,مادر
fas,پرچم
fas,درس
fas,حالا
fas,آدم
fas,او
fas,کاری
fas,زنده
fas,قتل
fas,می
fas,کمک
fas,طلاق
fas,راحت
fas,داشت
fas,اول
fas,پای
fas,تنها
fas,ریدم
fas,هر
fas,بره
fas,پاره
fas,میشه
fas,مثلا
fas,ننه
fas,رد
fas,جا
fas,سوال
fas,کص
fas,که از
fas,غیر
fas,هم
fas,کثیف
fas,بزنه
fas,به ما
fas,هرکی
fas,دل
fas,دشمن
fas,کل
fas,بشر
fas,باش
fas,بازم
fas,چه
fas,پا
fas,سخت
fas,میدم
fas,اصلا
fas,باشه
fas,شه
fas,یه
fas,خاک
fas,تروریست
fas,خامنه ای
fas,میزنم
fas,قبل از
fas,اعلام
fas,افغانی
fas,میکنی
fas,ایران را
fas,حکومتی
fas,بیرون
fas,احترام
fas,گزارش
fas,میکنن
fas,انگار
fas,اینکه
fas,استقلال
fas,تهران
fas,دانشگاه
fas,امروز
fas,باید کشت
fas,اینها
fas,مرگ بر
fas,میکند
fas,نداره
fas,دوران
fas,بودند
fas,زیبایی
fas,مذهبی
fas,رحیم پور
fas,مرتضوی
fas,کیر تو
fas,تحریم
fas,اروپا
fas,اینجا
fas,نوشته
fas,آتیشت
fas,هستیم
fas,اسرائیل
fas,فردوسی
fas,جامعه
fas,تهدید
fas,بی شرف
fas,برابر
fas,نداریم
fas,خواهیم
fas,دوباره
fas,زارچی
fas,رسانه
fas,میکنم
fas,نباید
fas,روحانی
fas,ایران
fas,اعدام
fas,آخوندی
fas,حکومت
fas,در مورد
fas,سیاسی
fas,ترامپ
fas,همیشه
fas,استفاده
fas,هیچکس
fas,میگیره
fas,بیشتر
fas,کرونا
fas,خامنه
fas,انقدر
fas,شریفی زارچی
fas,پرسپولیس
fas,مهدی ترابی
fas,یامین پور
fas,انتخابات
fas,تروریستی
fas,این توییت
fas,ایرانیان
fas,رائفی_پور
fas,اعتراضات_سراسری
fas,علیرضا دبیر
fas,مهسا_امینی
fas,مهسا_امینی اعتصابات_سراسری
fas,مردم ایران
fas,اعتصابات_سراسری
fas,رتبه کنکور
fas,جام جهانی
fas,عمل زیبایی
fas,زیباکلام
fas,مرگ_بر_ستمگر_چه_شاه_باشه_چه_رهبر
fas,افغانستان
fas,زیبا کلام
fas,جبرائیلی
fas,نگار مرتضوی
fas,حرومزاده
fas,زن_زندگی_آزادی
fas,بقیه
fas,گوه
fas,آتشت
fas,نگار
fas,میخواد
fas,حتما
fas,کنکور
fas,سرت
fas,رو با
fas,رو به
fas,تا
fas,دفاع
fas,حجاب
fas,مهدی
fas,شرف
fas,اصلاح
fas,مشکل
fas,پول
fas,زندگی
fas,هستند
fas,من
fas,نابودی
fas,توتونچی
fas,از این
fas,کسکش
fas,برید
fas,شان
fas,سه
fas,خوبی
fas,گفتن
fas,ضد
fas,داد
fas,کردن
fas,کثافت
fas,ای
fas,دیگه
fas,پرست
fas,خدا
fas,حقوق
fas,آخوند
fas,علم
fas,بوده
