lang,word
ara,شرف
ara,ريت
ara,أما
ara,لأن
ara,يغرد
ara,جحاش
ara,أصلا
ara,انت
ara,بدنا
ara,ياخد
ara,يلعن
ara,من
ara,شوي
ara,لون
ara,شر
ara,كل
ara,لازم
ara,بنص
ara,خطأ
ara,كيف
ara,حبيب
ara,وانت
ara,بهيك
ara,طيب
ara,اذا
ara,تعوي
ara,حمار
ara,بدك
ara,مو
ara,منذ
ara,واطي
ara,خلصت
ara,سوري
ara,أرنب
ara,الدم
ara,خلي
ara,رح
ara,الذي
ara,كوكب
ara,فهم
ara,قريب
ara,وهذا
ara,حشرة
ara,بغير
ara,حرق
ara,قليل
ara,ريس
ara,إن
ara,صادق
ara,أنت
ara,قاتل
ara,منك
ara,فيهم
ara,في
ara,كم
ara,كلام
ara,حساب
ara,ولكن
ara,فاسد
ara,عدو
ara,تحكي
ara,تميم
ara,يوم
ara,او
ara,هيدا
ara,الحر
ara,من وين
ara,العمى
ara,ارهابي
ara,يا ريس
ara,وطننا
ara,الكبير
ara,إسرائيل
ara,خنازير
ara,الكهربا
ara,ميزانية
ara,حمارة
ara,الدولة
ara,لوزير
ara,جماعة
ara,احسن ما
ara,مرتزق
ara,يا معالي
ara,مع جبران
ara,والله
ara,صرماية
ara,مش انت
ara,الوضع
ara,العربية
ara,معراب
ara,وهيدا
ara,يا وهاب
ara,رسالة
ara,انقبر
ara,وزارة
ara,معروفة
ara,القذر
ara,حسن نصر
ara,البغل
ara,الله لا
ara,الكلب
ara,البعض
ara,جبران
ara,العما
ara,العامة
ara,للدولة
ara,ايراني
ara,تحكي عن
ara,من بعد
ara,الخالد
ara,جربان
ara,صعلوك
ara,صباحك
ara,طال عمرك
ara,الناس
ara,يستاهل
ara,الشرف
ara,يا زلمي
ara,الإعلام
ara,جنبلاط
ara,عتيقة
ara,معالي
ara,تحياتي
ara,حليفة
ara,محاربة
ara,طعمرك
ara,انقلع
ara,أستاذ
ara,الدروز
ara,الكلام
ara,السبب
ara,الجحش
ara,الشيخ سعد
ara,باسيل بدو
ara,مياومو الإعلام
ara,السعوديه
ara,روح انقبر
ara,حضرة الرئيس
ara,الرئيس ميشال
ara,جبران باسيل
ara,الجمهورية
ara,الا جبران
ara,باسيل يلي
ara,العاهرات
ara,السيد حسن
ara,على جبران
ara,يخليلنا ياك
ara,النازحين
ara,لازم تكون
ara,الوزير جبران
ara,باسيل جبران
ara,القرضاوي
ara,وطننا يحتاج
ara,رئيس الجمهورية
ara,تصريحات جبران
ara,نحتاج الى
ara,يحتاج الى
ara,الخارجية
ara,الاسرائيلي
ara,معالي الوزير
ara,الله
ara,قصدك
ara,الوطني
ara,كما
ara,عا
ara,قول
ara,ناجحين
ara,فرنجية
ara,رئيس
ara,عليك
ara,بدو
ara,بقلبك
ara,اردوغان
ara,صوت الحق
ara,هو
ara,العظيم
ara,طشم
ara,تاكل
ara,باسيل ما
ara,نيعك
ara,مشكلة
ara,اين
ara,الى
ara,جحش
ara,علي
ara,من أن
ara,زمان
ara,قاريك
ara,لهم
ara,الشيخ
ara,مع
ara,العالم
ara,عندك
ara,بدهم حرق
ara,عرص
ara,تصريحات
ara,العدالة
ara,جنس
ara,نوع
ara,جايي
