lang,word
ara,شرف
ara,ريت
ara,أما
ara,لأن
ara,يغرد
ara,جحاش
ara,أصلا
ara,انت
ara,بدنا
ara,ياخد
ara,يلعن
ara,من
ara,شوي
ara,لون
ara,شر
ara,كل
ara,لازم
ara,بنص
ara,خطأ
ara,كيف
ara,حبيب
ara,وانت
ara,بهيك
ara,طيب
ara,اذا
ara,تعوي
ara,حمار
ara,بدك
ara,مو
ara,منذ
ara,واطي
ara,خلصت
ara,سوري
ara,أرنب
ara,الدم
ara,خلي
ara,رح
ara,الذي
ara,كوكب
ara,فهم
ara,قريب
ara,وهذا
ara,حشرة
ara,بغير
ara,حرق
ara,قليل
ara,ريس
ara,إن
ara,صادق
ara,أنت
ara,قاتل
ara,منك
ara,فيهم
ara,في
ara,كم
ara,كلام
ara,حساب
ara,ولكن
ara,فاسد
ara,عدو
ara,تحكي
ara,تميم
ara,يوم
ara,او
ara,هيدا
ara,الحر
ara,من وين
ara,العمى
ara,ارهابي
ara,يا ريس
ara,وطننا
ara,الكبير
ara,إسرائيل
ara,خنازير
ara,الكهربا
ara,ميزانية
ara,حمارة
ara,الدولة
ara,لوزير
ara,جماعة
ara,احسن ما
ara,مرتزق
ara,يا معالي
ara,مع جبران
ara,والله
ara,صرماية
ara,مش انت
ara,الوضع
ara,العربية
ara,معراب
ara,وهيدا
ara,يا وهاب
ara,رسالة
ara,انقبر
ara,وزارة
ara,معروفة
ara,القذر
ara,حسن نصر
ara,البغل
ara,الله لا
ara,الكلب
ara,البعض
ara,جبران
ara,العما
ara,العامة
ara,للدولة
ara,ايراني
ara,تحكي عن
ara,من بعد
ara,الخالد
ara,جربان
ara,صعلوك
ara,صباحك
ara,طال عمرك
ara,الناس
ara,يستاهل
ara,الشرف
ara,يا زلمي
ara,الإعلام
ara,جنبلاط
ara,عتيقة
ara,معالي
ara,تحياتي
ara,حليفة
ara,محاربة
ara,طعمرك
ara,انقلع
ara,أستاذ
ara,الدروز
ara,الكلام
ara,السبب
ara,الجحش
ara,الشيخ سعد
ara,باسيل بدو
ara,مياومو الإعلام
ara,السعوديه
ara,روح انقبر
ara,حضرة الرئيس
ara,الرئيس ميشال
ara,جبران باسيل
ara,الجمهورية
ara,الا جبران
ara,باسيل يلي
ara,العاهرات
ara,السيد حسن
ara,على جبران
ara,يخليلنا ياك
ara,النازحين
ara,لازم تكون
ara,الوزير جبران
ara,باسيل جبران
ara,القرضاوي
ara,وطننا يحتاج
ara,رئيس الجمهورية
ara,تصريحات جبران
ara,نحتاج الى
ara,يحتاج الى
ara,الخارجية
ara,الاسرائيلي
ara,معالي الوزير
ara,الله
ara,قصدك
ara,الوطني
ara,كما
ara,عا
ara,قول
ara,ناجحين
ara,فرنجية
ara,رئيس
ara,عليك
ara,بدو
ara,بقلبك
ara,اردوغان
ara,صوت الحق
ara,هو
ara,العظيم
ara,طشم
ara,تاكل
ara,باسيل ما
ara,نيعك
ara,مشكلة
ara,اين
ara,الى
ara,جحش
ara,علي
ara,من أن
ara,زمان
ara,قاريك
ara,لهم
ara,الشيخ
ara,مع
ara,العالم
ara,عندك
ara,بدهم حرق
ara,عرص
ara,تصريحات
ara,العدالة
ara,جنس
ara,نوع
ara,جايي
fas,آخه
fas,دهن
fas,بزرگ
fas,منم
fas,اين
fas,جام
fas,راست
fas,پر
fas,همه
fas,حضرت
fas,بدی
fas,برم
fas,پخش
fas,زیبا
fas,آقای
fas,ملخ
fas,مادر
fas,پرچم
fas,درس
fas,حالا
fas,آدم
fas,او
fas,کاری
fas,زنده
fas,قتل
fas,می
fas,کمک
fas,طلاق
fas,راحت
fas,داشت
fas,اول
fas,پای
fas,تنها
fas,ریدم
fas,هر
fas,بره
fas,پاره
fas,میشه
fas,مثلا
fas,ننه
fas,رد
fas,جا
fas,سوال
fas,کص
fas,که از
fas,غیر
fas,هم
fas,کثیف
fas,بزنه
fas,به ما
fas,هرکی
fas,دل
fas,دشمن
fas,کل
fas,بشر
fas,باش
fas,بازم
fas,چه
fas,پا
fas,سخت
fas,میدم
fas,اصلا
fas,باشه
fas,شه
fas,یه
fas,خاک
fas,تروریست
fas,خامنه ای
fas,میزنم
fas,قبل از
fas,اعلام
fas,افغانی
fas,میکنی
fas,ایران را
fas,حکومتی
fas,بیرون
fas,احترام
fas,گزارش
fas,میکنن
fas,انگار
fas,اینکه
fas,استقلال
fas,تهران
fas,دانشگاه
fas,امروز
fas,باید کشت
fas,اینها
fas,مرگ بر
fas,میکند
fas,نداره
fas,دوران
fas,بودند
fas,زیبایی
fas,مذهبی
fas,رحیم پور
fas,مرتضوی
fas,کیر تو
fas,تحریم
fas,اروپا
fas,اینجا
fas,نوشته
fas,آتیشت
fas,هستیم
fas,اسرائیل
fas,فردوسی
fas,جامعه
fas,تهدید
fas,بی شرف
fas,برابر
fas,نداریم
fas,خواهیم
fas,دوباره
fas,زارچی
fas,رسانه
fas,میکنم
fas,نباید
fas,روحانی
fas,ایران
fas,اعدام
fas,آخوندی
fas,حکومت
fas,در مورد
fas,سیاسی
fas,ترامپ
fas,همیشه
fas,استفاده
fas,هیچکس
fas,میگیره
fas,بیشتر
fas,کرونا
fas,خامنه
fas,انقدر
fas,شریفی زارچی
fas,پرسپولیس
fas,مهدی ترابی
fas,یامین پور
fas,انتخابات
fas,تروریستی
fas,این توییت
fas,ایرانیان
fas,رائفی_پور
fas,اعتراضات_سراسری
fas,علیرضا دبیر
fas,مهسا_امینی
fas,مهسا_امینی اعتصابات_سراسری
fas,مردم ایران
fas,اعتصابات_سراسری
fas,رتبه کنکور
fas,جام جهانی
fas,عمل زیبایی
fas,زیباکلام
fas,مرگ_بر_ستمگر_چه_شاه_باشه_چه_رهبر
fas,افغانستان
fas,زیبا کلام
fas,جبرائیلی
fas,نگار مرتضوی
fas,حرومزاده
fas,زن_زندگی_آزادی
fas,بقیه
fas,گوه
fas,آتشت
fas,نگار
fas,میخواد
fas,حتما
fas,کنکور
fas,سرت
fas,رو با
fas,رو به
fas,تا
fas,دفاع
fas,حجاب
fas,مهدی
fas,شرف
fas,اصلاح
fas,مشکل
fas,پول
fas,زندگی
fas,هستند
fas,من
fas,نابودی
fas,توتونچی
fas,از این
fas,کسکش
fas,برید
fas,شان
fas,سه
fas,خوبی
fas,گفتن
fas,ضد
fas,داد
fas,کردن
fas,کثافت
fas,ای
fas,دیگه
fas,پرست
fas,خدا
fas,حقوق
fas,آخوند
fas,علم
fas,بوده
heb,שאני
heb,רוצח
heb,עצמו
heb,כל כך
heb,כי לא
heb,כי
heb,נהרג
heb,אינו
heb,כל
heb,בן
