lang,word
heb,תומך
heb,לב
heb,לי
heb,צודק
heb,ניסו
heb,למי
heb,יאיר
heb,מצב
heb,מתוך
heb,בשם
heb,זו
heb,לבצע
heb,רקע
heb,אתה
heb,אסור
heb,מתי
heb,מאות
heb,עוד
heb,מכות
heb,בדרך
heb,חשוב
heb,כדי
heb,בעזה
heb,למה
heb,כזה
heb,שנה
heb,קל
heb,הארץ
heb,זה
heb,איתם
heb,בידי
heb,שמאל
heb,עד
heb,יום
heb,ערב
heb,מספר
heb,מה
heb,הילד
heb,תראה
heb,עבור
heb,או לא
heb,אבן
heb,אפשר
heb,לפי
heb,מאוד
heb,על זה
heb,לכם
heb,שם
heb,הרבה
heb,כן
heb,עמיר
heb,ואני
heb,את
heb,חזק
heb,יימח
heb,שרצח
heb,מת
heb,מלא
heb,איזה
heb,או
heb,יש
heb,אבל
heb,מאז
heb,בלבד
heb,ורק
heb,בן
heb,יהודית
heb,זדורוב
heb,יכולה
heb,לקרוא
heb,הערבית
heb,הקורונה
heb,הבוקר
heb,להצביע
heb,יהודי
heb,היהודי
heb,אנשים
heb,משטרה
heb,ציבור
heb,שאנחנו
heb,למדינה
heb,מעולם
heb,ישראלים
heb,הוא היה
heb,על רצח
heb,מערכת
heb,הליכוד
heb,של השמאל
heb,רצח ראש
heb,במגזר
heb,אוחנה
heb,פלסטין
heb,הנאשם
heb,כיבוש
heb,אהוביה
heb,ילדים
heb,הריסת
heb,הימין
heb,לא מבין
heb,חולדאי
heb,היה זה
heb,בכנסת
heb,המשפט
heb,מקווה
heb,לגמרי
heb,לא משנה
heb,ציוני
heb,להיות
heb,ממשלה
heb,מנסים
heb,הולכים
heb,מלחמה
heb,העולם
heb,ירושלים
heb,של ישראל
heb,מחבלים
heb,הישראלי
heb,קוראים
heb,כאילו
heb,יודעים
heb,ערבים
heb,סלימאני
heb,אם אתה
heb,התקשורת
heb,הממשלה
heb,הורגן
heb,בהחלט
heb,לחיות
heb,להשמיד
heb,מספיק
heb,ימח שמם
heb,בעירק
heb,ראש ממשלה
heb,הרבה יותר
heb,תומך טרור
heb,ראש הממשלה
heb,תומכי טרור
heb,זדורוב רצח
heb,הפלסטיני
heb,יכול להיות
heb,ערבי ישראל
heb,בירושלים
heb,פלסטינים
heb,להשמיד את
heb,רומן זדורוב
heb,היה אנטישמי
heb,טרור יהודי
heb,בדיוק כמו
heb,הישראלית
heb,המוסלמים
heb,של נתניהו
heb,אלא
heb,והוא
heb,כולם
heb,עולם
heb,אם
heb,אנשי
heb,נשק
heb,לפיד
heb,כל עוד
heb,לפחות
heb,עבד
heb,לך
heb,מחבל
heb,עושים
heb,לדבר
heb,ואם
heb,גנץ
heb,אפילו
heb,על
heb,כי זה
heb,פעם
heb,יכולים
heb,עזה
heb,הראשונה
heb,כבר
heb,לערבים
heb,פעולה
heb,עניין
heb,גבעות
heb,שהם
heb,בלתי
heb,אכפת
heb,אליו
heb,ויש
heb,למות
heb,טובה
heb,שום
heb,במה
heb,שוב
heb,סער
heb,ללמוד
heb,שכל
heb,נגד
heb,אם הוא
heb,על כך
heb,למשל
heb,המשותפת
heb,תמיד
heb,להילחם
